collection_id,loan_id,application_no,reason,reason desc
18071,1484,HEV-000647,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18128,1489,HEV-000653,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18192,2514,HEV-000660,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18193,2514,HEV-000660,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18194,2514,HEV-000660,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18599,1641,HEV-000690,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18685,1659,HEV-000695,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18686,1659,HEV-000695,combine_close_type_blocked,Loan skipped because COMBINE CLOSE_TYPE is Recovered/Closed/Return.
18726,1668,HEV-000700,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18840,1702,HEV-000707,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18876,1724,HEV-000710,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18900,1681,HEV-000712,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18912,1730,HEV-000713,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
18924,1728,HEV-000714,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
19252,1863,HEV-000741,amount_mismatch_exact_required,Exact match mode enabled; COMBINE Total Amount != due_amount.
19666,2014,HEV-000775,combine_paid_on_missing_or_invalid,"COMBINE Paid On for this EMI is blank/invalid, so not eligible."
