2026-05-17 15:39:23,062 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=1213 application_id=1213 dp_collection_id=546 current_status=DONE
2026-05-17 15:39:23,062 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1484 raw_application_id=1484 raw_dp_collection_id=630 raw_phase=PHASE_3
2026-05-17 15:39:23,062 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=1490 raw_application_id=1490 raw_dp_collection_id=637 raw_phase=PHASE_2
2026-05-17 15:39:23,063 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | row prepared for phase_2: loan_id=1490 application_id=1490 dp_collection_id=637 current_status=DONE
2026-05-17 15:39:23,063 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | processing input row: raw_loan_id=2514 raw_application_id=2514 raw_dp_collection_id=642 raw_phase=PHASE_3
2026-05-17 15:39:23,071 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collections to PENDING for 27 records: collection_ids=[1226, 1260, 1605, 2132, 2135, 2149, 2154, 2157, 2161, 2165, 2179, 2204, 2237, 2239, 2264, 2288, 2353, 2394, 57, 131, 156, 200, 215, 259, 278, 546, 637]
2026-05-17 15:39:23,078 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | set 27 phase_2 dp collections to PENDING
2026-05-17 15:39:23,078 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=0 loan_id=573 application_id=573 dp_collection_id=1226
2026-05-17 15:39:28,096 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=1 loan_id=711 application_id=711 dp_collection_id=1260
2026-05-17 15:39:33,113 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=2 loan_id=1977 application_id=1977 dp_collection_id=1605
2026-05-17 15:39:38,132 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=3 loan_id=33 application_id=33 dp_collection_id=2132
2026-05-17 15:39:43,151 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=4 loan_id=2569 application_id=2569 dp_collection_id=2135
2026-05-17 15:39:48,173 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=5 loan_id=2574 application_id=2574 dp_collection_id=2149
2026-05-17 15:39:53,195 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=6 loan_id=2579 application_id=2579 dp_collection_id=2154
2026-05-17 15:39:58,214 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=7 loan_id=85 application_id=85 dp_collection_id=2157
2026-05-17 15:40:03,232 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=8 loan_id=198 application_id=198 dp_collection_id=2161
2026-05-17 15:40:08,253 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=9 loan_id=191 application_id=191 dp_collection_id=2165
2026-05-17 15:40:13,268 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=10 loan_id=260 application_id=260 dp_collection_id=2179
2026-05-17 15:40:18,277 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=11 loan_id=491 application_id=491 dp_collection_id=2204
2026-05-17 15:40:23,293 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=12 loan_id=2593 application_id=2593 dp_collection_id=2237
2026-05-17 15:40:28,302 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=13 loan_id=2594 application_id=2594 dp_collection_id=2239
2026-05-17 15:40:33,322 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=14 loan_id=790 application_id=790 dp_collection_id=2264
2026-05-17 15:40:38,338 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=15 loan_id=988 application_id=988 dp_collection_id=2288
2026-05-17 15:40:43,364 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=16 loan_id=1567 application_id=1567 dp_collection_id=2353
2026-05-17 15:40:48,386 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=17 loan_id=1997 application_id=1997 dp_collection_id=2394
2026-05-17 15:40:53,399 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=18 loan_id=2341 application_id=2341 dp_collection_id=57
2026-05-17 15:40:58,420 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=19 loan_id=2401 application_id=2401 dp_collection_id=131
2026-05-17 15:41:03,434 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=20 loan_id=2422 application_id=2422 dp_collection_id=156
2026-05-17 15:41:08,453 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=21 loan_id=2459 application_id=2459 dp_collection_id=200
2026-05-17 15:41:13,472 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=22 loan_id=4 application_id=4 dp_collection_id=215
2026-05-17 15:41:18,493 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=23 loan_id=2494 application_id=2494 dp_collection_id=259
2026-05-17 15:41:23,511 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=24 loan_id=99 application_id=99 dp_collection_id=278
2026-05-17 15:41:28,527 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=25 loan_id=1213 application_id=1213 dp_collection_id=546
2026-05-17 15:41:33,545 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updating collection to DONE (PENDING->DONE): index=26 loan_id=1490 application_id=1490 dp_collection_id=637
2026-05-17 15:41:33,712 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | === script_2_phase2_emi_creation summary ===
2026-05-17 15:41:33,712 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | loaded records: 50
2026-05-17 15:41:33,712 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | updated count: 27
2026-05-17 15:41:33,713 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | skipped count: 23
2026-05-17 15:41:33,713 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | skipped by reason: {'non_phase_2': 23}
2026-05-17 15:41:33,713 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | failed count: 0
2026-05-17 15:41:33,713 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | multi_collection_conflict count: 0
2026-05-17 15:41:33,713 | INFO | closed_loan_backfill.script_2_phase2_emi_creation | audit files: {'updated': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_2/script_2_phase2_updated_20260517_101133.xlsx'), 'skipped': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_2/script_2_phase2_skipped_20260517_101133.xlsx'), 'failed': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_2/script_2_phase2_failed_20260517_101133.xlsx'), 'multi_collection_conflict': PosixPath('/home/prince/Desktop/BACKFILL/closed_loan_backfill/generated_sheets/script_2/script_2_phase2_multi_collection_conflict_20260517_101133.xlsx')}
